iter	Logloss
0	0.6795125593
1	0.6659448858
2	0.6542437369
3	0.643053289
4	0.6324424744
5	0.6209870723
6	0.6110473097
7	0.6018544917
8	0.5927349559
9	0.5842648556
10	0.5775739436
11	0.570856864
12	0.5650353683
13	0.5600901487
14	0.5536017502
15	0.5479907655
16	0.5422393397
17	0.5363902042
18	0.5302147447
19	0.5249182383
20	0.5212254441
21	0.5178361859
22	0.5142233665
23	0.5093205101
24	0.5049111885
25	0.5013585676
26	0.4981402347
27	0.4936208892
28	0.4896514625
29	0.4864095721
30	0.4830516681
31	0.4794581229
32	0.4761418125
33	0.4724093989
34	0.4692263687
35	0.4662913272
36	0.4634017944
37	0.4602373692
38	0.4572681962
39	0.4545858952
40	0.4518823456
41	0.4490084397
42	0.4472650896
43	0.4444403397
44	0.4419474685
45	0.4398585537
46	0.4376534914
47	0.4358661719
48	0.4339475799
49	0.4326106289
50	0.4303421556
51	0.4282454106
52	0.4257247322
53	0.4240348548
54	0.4222112957
55	0.4202701502
56	0.4185732122
57	0.4167750175
58	0.4150644269
59	0.4127920385
60	0.4114471569
61	0.4096266094
62	0.4083652162
63	0.4066567003
64	0.4047820777
65	0.4035361775
66	0.4022213785
67	0.4004299766
68	0.3987954123
69	0.3973770142
70	0.3963348322
71	0.3949866044
72	0.393639347
73	0.3921291954
74	0.3910675049
75	0.3897385848
76	0.3887731318
77	0.3878550279
78	0.3866426568
79	0.3853992998
80	0.3845667923
81	0.3838201824
82	0.382853759
83	0.3815535495
84	0.38069715
85	0.3795270418
86	0.3781191508
87	0.3767354865
88	0.3757919847
89	0.3749027587
90	0.3735616249
91	0.3721791652
92	0.3715475651
93	0.3700442063
94	0.3692440903
95	0.3683179889
96	0.3671668203
97	0.3666395221
98	0.3659997237
99	0.3650703765
100	0.364377072
101	0.3634628162
102	0.362362778
103	0.3617999428
104	0.3605584262
105	0.3595801236
106	0.3585697308
107	0.3575890859
108	0.3572982654
109	0.3566228632
110	0.3554820011
111	0.3547324465
112	0.353226645
113	0.3523103145
114	0.351548747
115	0.3505625474
116	0.3498105835
117	0.3491838355
118	0.3484393337
119	0.347378279
120	0.3468149419
121	0.3460105093
122	0.3455124571
123	0.3446352775
124	0.3435178054
125	0.3423094164
126	0.3418249833
127	0.3412541507
128	0.3405040942
129	0.3399016732
